region,provider,country_iso,lat,lon,abs_lat,ground_truth_ci,country_ci,country_fossil_frac,country_clean_frac,country_coal_frac,country_gas_frac,country_nuclear_frac,country_renew_frac,country_hydro_frac,country_solar_frac,country_wind_frac,n_plants_300km,total_emissions_300km,mean_emissions_per_plant,total_capacity_300km,emissions_per_capacity,local_pct_coal,local_pct_gas,local_pct_solar,local_pct_wind,local_pct_hydro,local_pct_nuclear,local_pct_fossil,local_pct_clean,n_renew_nearby,renew_cap_nearby_mw,local_ef_weighted,local_generation_gwh,local_mean_cf,idw_weighted_ci,n_fossil_ops_300km,fossil_emissions_300km,n_coal_mines,n_refineries,n_oilgas,nearest_dc_km,n_dcs_300km,country_ci_sq,ct_grid_ci_est,emaps_zone_ci,emaps_idw_ci,emaps_zone_clean_cap_frac,emaps_zone_fossil_cap_frac,emaps_zone_coal_cap_mw
southamerica-east1,gcp,BRA,-23.5325,-46.7916,23.5325,56,79.55739808445584,0.09283771277938246,0.9071622872206174,0.024103311926862783,0.05350682857062732,0.020345494825990632,0.8868167923946269,0.6047281191284107,0.07252026136459239,0.13424380941697747,68,3057351.0,44961.044117647056,4936.2300000000005,303.2015779349335,0.0,0.049079754601226995,0.0,0.0,0.0,0.0,0.049079754601226995,0.950920245398773,95,5147.329,278.2870015740894,11506.750193999998,0.3584745989304812,606.6400054181006,5,11454506.128509311,0,4,1,0.0,3,6.329379589968577,57.50086077912855,,63.34247106765623,,,
southamerica-west1,gcp,CHL,-33.3584722,-70.6973317,33.3584722,138,207.2311240165068,0.3918191603875134,0.6081808396124866,0.1669656739624447,0.18526492046405932,0.0,0.6081808396124866,0.28585097476378424,0.1991388589881593,0.11816768329147233,29,5695307.93,196389.92862068964,4679.1,542.4175112811027,0.008928571428571428,0.08928571428571429,0.0,0.0,0.0,0.0,0.2142857142857143,0.7857142857142857,83,5820.76,576.2450317332659,9883.5541,0.2505974025974026,703.4823227267557,3,2608303.6740035038,0,2,1,0.0,1,42.944738761144826,476.9145287087146,207.2311240165068,212.98419896646232,0.5967848756698175,0.0,0.0
us-central1,gcp,USA,41.1755951,-95.8028031,41.1755951,430,408.79022743451617,0.5907955896023818,0.4092044103976183,0.1589202292277097,0.42410891846412724,0.18247608288911638,0.2267283275085019,0.05506171967851638,0.05604076205269413,0.10007648768548263,106,45964168.423,433624.2304056604,21756.4,1278.1422575406614,0.08148148148148149,0.2111111111111111,0.0,0.0,0.0,0.0,0.38888888888888895,0.611111111111111,164,14205.3,756.2727518156993,60329.77364999999,0.24565837320574158,984.7517731110846,0,0.0,0,0,0,0.0,2,167.10945004596346,1248.1581504315723,408.79022743451617,454.87096207481943,0.409027419769795,0.5852721621864057,20279.3
us-east1,gcp,USA,33.105486,-80.088472,33.105486,560,402.5899904320549,0.5907955896023818,0.4092044103976183,0.1589202292277097,0.42410891846412724,0.18247608288911638,0.2267283275085019,0.05506171967851638,0.05604076205269413,0.10007648768548263,82,50477430.519999996,615578.4209756097,33867.600000000006,921.255484742298,0.037037037037037035,0.07818930041152264,0.0,0.0,0.0,0.0,0.1337448559670782,0.8662551440329218,404,20924.4,493.6629364399765,102447.44183000001,0.38388537549407115,828.1833406231198,0,0.0,0,0,0,0.0,1,162.07870039608204,880.5419730266289,592.6831180976535,482.96396399127684,0.08934093302355124,0.8739699466795929,3727.3
us-east4,gcp,USA,39.0438,-77.4875,39.0438,322,342.5338228873317,0.5907955896023818,0.4092044103976183,0.1589202292277097,0.42410891846412724,0.18247608288911638,0.2267283275085019,0.05506171967851638,0.05604076205269413,0.10007648768548263,242,118484943.50369999,489607.20456074376,72858.5,1178.9206431227358,0.09162717219589257,0.18641390205371247,0.0,0.0,0.0,0.0,0.34123222748815163,0.6587677725118484,391,27644.4,489.3466445005544,240468.69282999999,0.3646977886977887,735.2875328957168,195,99234905.30516618,184,5,6,0.0,4,117.32941982180994,960.7716609081072,342.5338228873317,293.703475729689,0.3198857639367727,0.6691322872360083,38745.6
us-east5,gcp,USA,39.9612,-82.9988,39.9612,322,342.5338228873317,0.5907955896023818,0.4092044103976183,0.1589202292277097,0.42410891846412724,0.18247608288911638,0.2267283275085019,0.05506171967851638,0.05604076205269413,0.10007648768548263,177,158794516.62300003,897144.1617118645,68587.5,2040.7274985060283,0.17365269461077845,0.2904191616766467,0.0,0.0,0.0,0.0,0.5179640718562875,0.48203592814371254,157,9225.199999999999,636.128910313324,250291.227181,0.35942226613965744,765.3764730186833,241,88560934.33319752,225,7,9,0.0,2,117.32941982180994,1367.816294133924,342.5338228873317,377.93650328662704,0.3198857639367727,0.6691322872360083,38745.6
us-south1,gcp,USA,32.7767,-96.797,32.7767,321,339.8410295589627,0.5907955896023818,0.4092044103976183,0.1589202292277097,0.42410891846412724,0.18247608288911638,0.2267283275085019,0.05506171967851638,0.05604076205269413,0.10007648768548263,85,77301065.1,909424.2952941175,46692.0,1393.2789205030874,0.08641975308641975,0.4012345679012346,0.0,0.0,0.0,0.0,0.4876543209876543,0.5123456790123457,77,8789.400000000001,506.71485285465576,152293.028,0.38952848484848485,726.758120828434,17,34360049.34893571,3,4,10,0.0,1,115.49192537169576,978.0932136692923,339.8410295589627,341.3196083972873,0.4376509367287381,0.4865472160444306,14329.7
us-west1,gcp,USA,45.6317898,-121.2009427,45.6317898,94,180.45167176608044,0.5907955896023818,0.4092044103976183,0.1589202292277097,0.42410891846412724,0.18247608288911638,0.2267283275085019,0.05506171967851638,0.05604076205269413,0.10007648768548263,33,11745656.677000001,355928.9902121212,7405.3,343.6311599134022,0.008849557522123894,0.084070796460177,0.0,0.0,0.0,0.0,0.09292035398230089,0.9070796460176991,193,26775.7,369.3573106776911,32350.98157,0.5843163636363636,32.81638456923369,1,259222.2829512013,0,1,0,0.0,4,32.56280584317323,937.0696881632571,213.79341917878423,247.1430229745012,0.36968327966549724,0.5083145095400587,0.0
us-west2,gcp,USA,34.0522,-118.2437,34.0522,198,175.24533137327043,0.5907955896023818,0.4092044103976183,0.1589202292277097,0.42410891846412724,0.18247608288911638,0.2267283275085019,0.05506171967851638,0.05604076205269413,0.10007648768548263,156,26967946.8874,172871.45440641025,29044.019999999997,547.2989317299657,0.0027137042062415195,0.19810040705563092,0.0,0.0,0.0,0.0,0.20217096336499318,0.7978290366350068,581,20230.6,417.08523083785826,65349.99121,0.2757609970674487,666.7502760597074,34,26991963.70502423,0,10,24,0.0,1,30.71092616812736,548.5653873570946,328.1526183665935,296.21358113489123,0.4174601291825269,0.5405393747910758,0.0
us-west3,gcp,USA,40.7608,-111.891,40.7608,588,622.5666794114003,0.5907955896023818,0.4092044103976183,0.1589202292277097,0.42410891846412724,0.18247608288911638,0.2267283275085019,0.05506171967851638,0.05604076205269413,0.10007648768548263,30,30473366.2,1015778.8733333333,10965.599999999999,2251.4825634660283,0.09166666666666666,0.14166666666666666,0.0,0.0,0.0,0.0,0.23333333333333334,0.7666666666666666,90,2569.2000000000003,722.8850815326623,42027.70020000001,0.401959595959596,711.538242715665,19,18720462.406043246,9,6,4,0.0,1,387.5892703133373,1641.818993151154,622.5666794114003,512.2744442330841,0.40049518506686144,0.5959335493587696,5824.3
us-west4,gcp,USA,36.1699,-115.1398,36.1699,373,377.80878480583783,0.5907955896023818,0.4092044103976183,0.1589202292277097,0.42410891846412724,0.18247608288911638,0.2267283275085019,0.05506171967851638,0.05604076205269413,0.10007648768548263,35,12084755.25,345278.72142857144,12001.8,532.9268241592506,0.00816326530612245,0.1306122448979592,0.0,0.0,0.0,0.0,0.14285714285714285,0.8571428571428572,210,10674.400000000001,359.9081862277362,34338.69090000001,0.3270967741935484,663.8209273532336,2,12738.1957221187,1,1,0,0.0,1,142.73947787646387,594.87911006051,328.1526183665935,386.8848025693145,0.4174601291825269,0.5405393747910758,0.0
